ts,recipient,status,file,details
2026-01-20 16:31:00,lebedevv0,OK,1.Osipova.xlsx; Alyans.xlsx; Arsenal.xlsx; Fish2b.xlsx; GFC.xlsx; MARR.xlsx; METRO.xlsx; NAVAFISH.xlsx; Neptyn.xlsx; SWlife.xlsx; Tradeservice.xlsx; Vostokzapad.xlsx,
2026-01-20 16:43:56,lebedevv0,OK,Alyans.xlsx,
2026-01-20 16:44:01,lebedevv0,OK,Arsenal.xlsx,
2026-01-21 11:34:15,wanillalord,OK,Vostokzapad.xlsx,
2026-01-21 11:34:23,lava5s10,ERROR,Imtek.xlsx,"Exception: ValueError No user has ""lava5s10"" as username"
2026-01-21 11:34:31,anfish_ru,OK,NAVAFISH.xlsx,
2026-01-21 11:34:37,skriko,OK,SWlife.xlsx,
2026-01-21 11:34:42,catonchandler,ERROR,GFC.xlsx,"Exception: ValueError No user has ""catonchandler"" as username"
2026-01-21 11:34:51,dmitris6,OK,Alyans.xlsx,
2026-01-21 11:34:58,fishtobiz,OK,Fish2b.xlsx,
2026-01-27 12:50:13,wanillalord,OK,Vostokzapad.xlsx,
2026-01-27 12:50:16,LavaSs10,OK,Imtek.xlsx,
2026-01-27 12:52:08,wanillalord,OK,Vostokzapad.xlsx,
2026-01-27 12:52:10,LavaSs10,OK,Imtek.xlsx,
2026-01-27 12:52:12,anfish_ru,OK,NAVAFISH.xlsx,
2026-01-27 12:52:15,skrikq,OK,SWlife.xlsx,
2026-01-27 12:52:17,catonchandelier,OK,GFC.xlsx,
2026-01-27 12:52:19,dmitriis6,OK,Alyans.xlsx,
2026-01-27 12:52:20,fishtobiz,OK,Fish2b.xlsx,
2026-01-27 12:52:21,arsenalgalina,OK,Arsenal.xlsx,
2026-01-27 12:52:23,kornev007,OK,Neptyn.xlsx,
2026-01-27 12:52:25,complexbar_order_bot,OK,Tradeservice.xlsx,
2026-01-27 12:52:27,lebedev0,OK,Metro.xlsx,
2026-01-27 12:52:29,agerasimenko83,OK,Marr.xlsx,
2026-02-03 13:19:06,wanillalord,OK,Vostokzapad.xlsx,
2026-02-03 13:19:07,LavaSs10,OK,Imtek.xlsx,
2026-02-03 13:19:09,anfish_ru,OK,NAVAFISH.xlsx,
2026-02-03 13:19:11,Serjik_303,OK,SWlife.xlsx,
2026-02-03 13:19:13,catonchandelier,OK,GFC.xlsx,
2026-02-03 13:19:15,dmitriis6,OK,Alyans.xlsx,
2026-02-03 13:19:17,fishtobiz,OK,Fish2b.xlsx,
2026-02-03 13:19:19,arsenalgalina,OK,Arsenal.xlsx,
2026-02-03 13:19:21,kornev007,OK,Neptyn.xlsx,
2026-02-03 13:19:22,complexbar_order_bot,OK,Tradeservice.xlsx,
2026-02-03 13:19:24,lebedevv0,OK,Metro.xlsx,
2026-02-03 13:19:26,agerasimenko83,OK,Marr.xlsx,
2026-02-10 12:52:50,wanillalord,OK,Vostokzapad.xlsx,
2026-02-10 12:52:53,LavaSs10,OK,Imtek.xlsx,
2026-02-10 12:52:58,anfish_ru,OK,NAVAFISH.xlsx,
2026-02-10 12:53:02,Serjik_303,OK,SWlife.xlsx,
2026-02-10 12:53:06,catonchandelier,OK,GFC.xlsx,
2026-02-10 12:53:10,dmitriis6,OK,Alyans.xlsx,
2026-02-10 12:53:15,fishtobiz,OK,Fish2b.xlsx,
2026-02-10 12:53:18,arsenalgalina,OK,Arsenal.xlsx,
2026-02-10 12:53:22,kornev007,OK,Neptyn.xlsx,
2026-02-10 12:53:26,complexbar_order_bot,OK,Tradeservice.xlsx,
2026-02-10 12:53:30,lebedevv0,OK,Metro.xlsx,
2026-02-10 12:53:34,agerasimenko83,OK,Marr.xlsx,
2026-02-17 12:10:42,wanillalord,OK,Vostokzapad.xlsx,
2026-02-17 12:10:44,LavaSs10,OK,Imtek.xlsx,
2026-02-17 12:10:46,anfish_ru,OK,NAVAFISH.xlsx,
2026-02-17 12:10:48,Serjik_303,OK,SWlife.xlsx,
2026-02-17 12:10:50,catonchandelier,OK,GFC.xlsx,
2026-02-17 12:10:52,dmitriis6,OK,Alyans.xlsx,
2026-02-17 12:10:54,fishtobiz,OK,Fish2b.xlsx,
2026-02-17 12:10:56,arsenalgalina,OK,Arsenal.xlsx,
2026-02-17 12:10:58,kornev007,OK,Neptyn.xlsx,
2026-02-17 12:11:00,complexbar_order_bot,OK,Tradeservice.xlsx,
2026-02-17 12:11:02,lebedevv0,OK,Metro.xlsx,
2026-02-17 12:11:04,agerasimenko83,OK,Marr.xlsx,
2026-02-24 11:52:21,wanillalord,OK,Vostokzapad.xlsx,
2026-02-24 11:52:23,LavaSs10,OK,Imtek.xlsx,
2026-02-24 11:52:25,anfish_ru,OK,NAVAFISH.xlsx,
2026-02-24 11:52:27,Serjik_303,OK,SWlife.xlsx,
2026-02-24 11:52:29,catonchandelier,OK,GFC.xlsx,
2026-02-24 11:52:32,dmitriis6,OK,Alyans.xlsx,
2026-02-24 11:52:33,fishtobiz,OK,Fish2b.xlsx,
2026-02-24 11:52:36,arsenalgalina,OK,Arsenal.xlsx,
2026-02-24 11:52:38,kornev007,OK,Neptyn.xlsx,
2026-02-24 11:52:40,complexbar_order_bot,OK,Tradeservice.xlsx,
2026-02-24 11:52:41,lebedevv0,OK,Metro.xlsx,
2026-02-24 11:52:43,agerasimenko83,OK,Marr.xlsx,
